agent_id,agent_name,state,channel,tenure_years,active_policies,avg_premium_collected,lapse_rate,churn_cluster
AGT000001,Siya Saini,Odisha,Agent,5.9,359,19805.85,0.278,False
AGT000002,Aashi Gour,Tamil Nadu,Broker,16.4,220,170415.61,0.218,False
AGT000003,George Sangha,West Bengal,Broker,13.7,289,81863.03,0.031,False
AGT000004,Chameli Gala,Haryana,Broker,14.3,306,76239.1,0.23,False
AGT000005,Ikshita Saini,Gujarat,Broker,19.0,109,91438.41,0.108,False
AGT000006,Vaishnavi Wason,Maharashtra,Online,14.7,157,192991.48,0.219,False
AGT000007,Rajeshri Pant,Punjab,Online,11.5,149,74075.84,0.03,False
AGT000008,Advaith Issac,Uttar Pradesh,Online,10.1,174,30447.67,0.298,False
AGT000009,Maanav Naik,Delhi,Agent,16.9,167,99689.84,0.328,False
AGT000010,Akshay Dora,Gujarat,Online,19.6,287,116678.52,0.251,False
AGT000011,Manbir Tata,Madhya Pradesh,Direct,18.2,301,145065.28,0.329,False
AGT000012,Ishaan Ray,Punjab,Agent,6.4,232,146281.09,0.312,False
AGT000013,Aarush Seshadri,Rajasthan,Agent,11.1,97,154848.42,0.331,False
AGT000014,Shivani Chatterjee,Chhattisgarh,Agent,8.6,55,38238.07,0.344,False
AGT000015,Tejas Guha,Madhya Pradesh,Agent,4.9,215,98088.33,0.345,False
AGT000016,Ojas Purohit,Maharashtra,Online,5.2,8,196014.14,0.347,False
AGT000017,Ijaya Kadakia,Gujarat,Online,2.0,248,121826.7,0.07,False
AGT000018,Akshay Prabhakar,Uttar Pradesh,Bancassurance,3.9,376,100601.75,0.063,False
AGT000019,Amol Mittal,Karnataka,Online,5.7,30,198191.38,0.044,False
AGT000020,Yadavi Dash,Uttar Pradesh,Broker,10.8,35,98642.16,0.328,False
AGT000021,Tamanna Sachdev,Gujarat,Online,15.1,75,149258.1,0.254,False
AGT000022,Indira Pandey,Andhra Pradesh,Online,16.9,107,126158.75,0.223,False
AGT000023,Gautami Comar,Jharkhand,Online,19.0,107,149634.73,0.071,False
AGT000024,Tara Sangha,West Bengal,Direct,7.0,235,88470.8,0.262,False
AGT000025,Peter Gaba,Kerala,Bancassurance,14.4,233,51144.37,0.332,False
AGT000026,Lakshmi Mane,Kerala,Broker,14.1,170,127625.24,0.171,False
AGT000027,Bhanumati Chaudhary,Rajasthan,Bancassurance,16.1,361,167487.92,0.113,False
AGT000028,Hemang Chakraborty,Madhya Pradesh,Direct,1.4,223,157411.55,0.134,False
AGT000029,Nisha Chawla,Jharkhand,Direct,6.0,107,77532.74,0.224,False
AGT000030,Harish Sawhney,Punjab,Bancassurance,4.5,106,167876.27,0.06,False
AGT000031,Bimala Salvi,Maharashtra,Direct,11.7,210,178845.27,0.23,False
AGT000032,Udant Sha,West Bengal,Direct,4.7,349,59618.91,0.14,False
AGT000033,Ishwar Hayre,Madhya Pradesh,Broker,5.0,223,56133.86,0.152,False
AGT000034,Jeet Panchal,Tamil Nadu,Online,19.5,276,52446.86,0.156,False
AGT000035,Nitara Randhawa,West Bengal,Online,12.0,277,114834.52,0.054,False
AGT000036,Kavya Kapur,Uttar Pradesh,Online,11.6,252,114807.56,0.155,False
AGT000037,Amrita Lalla,Haryana,Bancassurance,10.4,303,21278.81,0.158,False
AGT000038,Oeshi Khurana,West Bengal,Bancassurance,8.6,152,130432.81,0.287,False
AGT000039,Oeshi Bali,Tamil Nadu,Bancassurance,2.7,340,186049.62,0.319,False
AGT000040,Atharv Dube,Maharashtra,Online,4.6,251,97870.28,0.095,False
AGT000041,Zilmil Nadkarni,Andhra Pradesh,Agent,5.6,392,124725.04,0.126,False
AGT000042,Onkar Sani,Kerala,Online,7.0,162,132918.96,0.337,False
AGT000043,Mahika Hans,Madhya Pradesh,Agent,13.5,389,127320.2,0.106,False
AGT000044,Charan Sanghvi,Assam,Online,11.7,341,91666.56,0.29,False
AGT000045,Madhavi Ghose,Karnataka,Bancassurance,6.9,314,185363.02,0.116,False
AGT000046,Eesha Varughese,Bihar,Bancassurance,3.7,280,190632.16,0.24,False
AGT000047,Rajeshri Kashyap,Gujarat,Broker,18.5,87,127453.71,0.316,False
AGT000048,Jonathan Thaman,Bihar,Bancassurance,10.6,370,138658.05,0.149,False
AGT000049,Manya Lad,Assam,Agent,19.9,383,82441.17,0.332,False
AGT000050,Ekantika Jani,Delhi,Broker,1.9,66,87384.84,0.047,False
AGT000051,Girik Bal,Madhya Pradesh,Agent,14.7,59,169172.09,0.25,False
AGT000052,Advay Dua,Gujarat,Broker,5.4,307,155505.39,0.212,False
AGT000053,Farhan Raja,Kerala,Agent,16.6,37,188835.79,0.243,False
AGT000054,Kalpit Setty,West Bengal,Online,4.3,373,150274.28,0.142,False
AGT000055,Rachit Khatri,Maharashtra,Direct,19.5,67,149335.42,0.115,False
AGT000056,Chameli Hari,Kerala,Bancassurance,15.1,171,186253.99,0.133,False
AGT000057,Kritika Lad,Maharashtra,Agent,8.2,239,108273.54,0.064,False
AGT000058,Anvi Butala,Delhi,Agent,18.3,163,79631.24,0.11,False
AGT000059,Arin Chauhan,Telangana,Bancassurance,9.5,379,16591.92,0.25,False
AGT000060,Tripti Das,Madhya Pradesh,Bancassurance,5.9,271,15445.51,0.14,False
AGT000061,Lucky Mandal,Tamil Nadu,Agent,4.8,160,100841.27,0.271,False
AGT000062,Pranit Chander,Bihar,Broker,13.5,278,83586.51,0.341,False
AGT000063,Warda Pathak,Uttar Pradesh,Direct,1.1,129,72036.39,0.096,False
AGT000064,Mahika Chaudhuri,Odisha,Direct,17.5,367,71578.39,0.167,False
AGT000065,Anthony Sachdev,Andhra Pradesh,Agent,1.7,219,188642.14,0.307,False
AGT000066,Vidhi Bose,Gujarat,Bancassurance,11.6,281,163251.18,0.182,False
AGT000067,Oni Prashad,Gujarat,Agent,2.1,257,123148.78,0.098,False
AGT000068,Shravya Dyal,Tamil Nadu,Direct,2.6,332,89049.68,0.265,False
AGT000069,Chanchal Anne,Delhi,Direct,13.6,228,80636.82,0.296,False
AGT000070,Azad Dalal,Maharashtra,Direct,3.2,252,19284.63,0.046,False
AGT000071,Idika Sule,Uttar Pradesh,Broker,16.2,353,51928.24,0.198,False
AGT000072,Nathan Vig,Uttar Pradesh,Agent,2.8,271,180675.12,0.081,False
AGT000073,Jairaj Hans,Delhi,Online,10.0,360,83984.99,0.207,False
AGT000074,Arin Vasa,West Bengal,Bancassurance,15.3,52,76850.28,0.067,False
AGT000075,Tarak Patla,Madhya Pradesh,Broker,4.5,221,89974.85,0.233,False
AGT000076,Teerth Balan,Punjab,Direct,16.8,290,90690.96,0.165,False
AGT000077,Lakshit Kannan,Maharashtra,Agent,2.6,228,72837.54,0.085,False
AGT000078,Jonathan Loyal,Madhya Pradesh,Agent,11.9,389,94435.58,0.211,False
AGT000079,Vasatika Iyengar,Tamil Nadu,Agent,9.2,176,144759.21,0.049,False
AGT000080,Ijaya Menon,Meghalaya,Online,15.3,221,196789.28,0.285,False
AGT000081,Warhi Sarin,Maharashtra,Online,12.0,71,169345.29,0.328,False
AGT000082,Reyansh Krishna,Uttar Pradesh,Direct,14.4,79,177828.67,0.248,False
AGT000083,Rudra Mand,Tamil Nadu,Agent,12.9,202,69460.43,0.058,False
AGT000084,Harshil Muni,Uttar Pradesh,Online,17.2,377,76774.01,0.06,False
AGT000085,Samesh Sura,Jharkhand,Agent,13.3,337,193838.44,0.14,False
AGT000086,Sanaya Sampath,Odisha,Broker,5.1,317,193356.65,0.22,False
AGT000087,Eiravati Chokshi,Andhra Pradesh,Direct,17.7,14,134377.08,0.274,False
AGT000088,Pushti Iyengar,Uttar Pradesh,Direct,16.1,171,188443.5,0.085,False
AGT000089,Kashvi Bhatt,Uttar Pradesh,Online,6.8,126,91359.65,0.306,False
AGT000090,Oliver Bandi,Andhra Pradesh,Agent,13.8,176,35426.86,0.284,False
