customer_id,name,age,gender,state,city,pincode,occupation,income_band,credit_tier,tenure_months,channel,family_size,segment,email,phone,bank_account_prefix,in_fraud_ring,created_at
CUST000001,Girindra Date,49.0,Female,Uttar Pradesh,Kumbakonam,457938,Professional,5-10L,Prime,12.0,Direct,6.0,Mass,ebaria@example.com,9876904943,HDFC,True,2020-04-23
CUST000002,Balvan Din,38.0,Male,Madhya Pradesh,Eluru,546602,Farmer,5-10L,Near-Prime,47.0,Agent,7.0,Mass,fariq61@example.org,9876196119,HDFC,True,2021-10-25
CUST000003,Chavvi Varkey,54.0,Male,Tamil Nadu,Dhanbad,973642,Homemaker,5-10L,Thin-File,35.0,Agent,3.0,Mass,yachana09@example.com,9876388735,HDFC,True,2020-11-30
CUST000004,Bhavani Mahajan,22.0,Male,Uttar Pradesh,Vellore,062447,Farmer,2-5L,Sub-Prime,70.0,Bancassurance,5.0,Affluent,gunbir33@example.org,9876354418,HDFC,True,2024-04-23
CUST000005,Timothy Bhatt,21.0,Female,Maharashtra,Narasaraopet,969586,Farmer,2-5L,Prime,52.0,Broker,1.0,Mass,varora@example.com,9876191804,HDFC,True,2023-08-12
CUST000006,Hiral Saxena,20.0,Male,Bihar,Surendranagar Dudhrej,382646,Self-Employed,5-10L,Sub-Prime,59.0,Agent,2.0,Affluent,brarvidhi@example.net,9876409024,HDFC,True,2021-01-21
CUST000007,Fiyaz Johal,67.0,Female,Delhi,Avadi,577029,Farmer,2-5L,Thin-File,18.0,Online,6.0,Mass,indirasankar@example.com,9876269701,HDFC,True,2022-12-11
CUST000008,Bhanumati Swaminathan,26.0,Female,Uttar Pradesh,Gandhinagar,691163,Retired,10-25L,Thin-File,58.0,Direct,3.0,Mass,indrajitmann@example.org,9876164642,HDFC,True,2022-07-17
CUST000009,Nandini Rege,29.0,Male,Tamil Nadu,Bellary,945515,Farmer,5-10L,Near-Prime,17.0,Agent,7.0,Mass,zkar@example.com,9876274696,HDFC,True,2021-02-11
CUST000010,Bhavini Sengupta,71.0,Male,Maharashtra,Belgaum,408572,Professional,2-5L,Near-Prime,9.0,Direct,3.0,Mass-Affluent,rajagopalomya@example.com,9876418290,HDFC,True,2023-03-29
CUST000011,Ranbir Balakrishnan,32.0,Female,Andhra Pradesh,Durgapur,996059,Salaried,<2L,Prime,61.0,Agent,5.0,Mass,ojassodhi@example.net,9876320011,HDFC,True,2022-02-12
CUST000012,Kamala Bajaj,27.0,Male,Maharashtra,Suryapet,275327,Farmer,5-10L,Sub-Prime,44.0,Agent,3.0,Mass,ekantikadeo@example.com,9876830731,HDFC,True,2020-05-25
CUST000013,Azaan Jhaveri,38.0,Female,Bihar,Jaunpur,973278,Business Owner,2-5L,Prime,27.0,Agent,5.0,Mass,narulanathaniel@example.org,9876518876,HDFC,True,2020-09-22
CUST000014,Ekaraj Amble,23.0,Female,Haryana,Vellore,616481,Business Owner,2-5L,Prime,54.0,Bancassurance,4.0,Affluent,sarnavasana@example.net,9876745824,HDFC,True,2020-04-09
CUST000015,Brinda Rao,28.0,Female,Telangana,Bharatpur,876112,Homemaker,2-5L,Prime,9.0,Agent,6.0,Mass-Affluent,isaac25@example.com,9876135058,HDFC,True,2021-10-01
CUST000016,Lucky Kibe,54.0,Male,Uttar Pradesh,Bhagalpur,151773,Business Owner,2-5L,Near-Prime,18.0,Direct,1.0,Mass,hema47@example.com,9876313172,HDFC,True,2023-11-26
CUST000017,Aarna Maharaj,56.0,Male,Gujarat,Kolhapur,840359,Farmer,<2L,Near-Prime,4.0,Direct,2.0,Affluent,bishakha42@example.net,9876797126,HDFC,True,2022-05-05
CUST000018,Vaishnavi Sarraf,48.0,Female,Jharkhand,Bhatpara,294643,Professional,<2L,Prime,49.0,Agent,3.0,Mass,kakarchavvi@example.org,9876222999,HDFC,True,2021-08-05
CUST000019,Aashi Patla,20.0,Male,West Bengal,Morena,529858,Government Employee,<2L,Prime,17.0,Agent,3.0,Mass,kritika72@example.net,9876909488,HDFC,True,2021-04-04
CUST000020,Parth Sule,52.0,Female,Maharashtra,Kanpur,534332,Farmer,<2L,Thin-File,65.0,Agent,4.0,Affluent,jagdish35@example.com,9876789501,HDFC,True,2021-05-19
CUST000021,Advik Viswanathan,38.0,Female,Delhi,Panihati,061581,Retired,5-10L,Sub-Prime,52.0,Broker,3.0,Mass-Affluent,fariq07@example.net,9876540461,HDFC,True,2023-03-19
CUST000022,Yash Kunda,49.0,Female,West Bengal,Sambalpur,720948,Homemaker,10-25L,Prime,70.0,Agent,7.0,Mass,gavin31@example.org,9876252346,HDFC,True,2024-11-10
CUST000023,Darsh Johal,41.0,Male,Punjab,Latur,718051,Retired,5-10L,Prime,16.0,Agent,2.0,Mass,vanyadada@example.com,9876258234,HDFC,True,2023-06-19
